machine,matrix_name,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
chameleon.intel.skylake,whitaker3_dual,102.718,129.931,119.152,130.039,129.582,127.589,139.365,105.985
chameleon.intel.skylake,wi2010,49.1222,42.9217,58.3816,50.9136,44.0543,45.1985,46.9921,34.0157
chameleon.intel.skylake,windscreen,187.216,182.234,,179.405,184.879,184.263,184.31,181.987
chameleon.intel.skylake,wing,47.5646,40.4393,52.6878,43.9494,48.8075,48.2665,49.7793,34.7027
chameleon.intel.skylake,wing_nodal,181.258,152.732,205.594,154.334,181.087,,189.583,111.521
chameleon.intel.skylake,worms20_10NN,215.121,176.646,209.627,174.358,176.294,176.879,203.735,152.38
chameleon.intel.skylake,wv2010,53.3531,44.9891,63.589,54.8281,49.042,49.6101,52.0197,36.5763
chameleon.intel.skylake,wy2010,60.9373,49.0219,71.5771,57.9909,54.6342,55.3665,56.8242,39.0685
chameleon.intel.skylake,x104,180.118,174.021,183.724,179.805,182.765,182.185,179.711,175.1
intel-Desktop,144,30.4043,21.2492,33.91415,21.15395,31.21085,32.7195,30.39305,13.8164
intel-Desktop,2cubes_sphere,31.283050000000003,42.428250000000006,39.1235,42.730050000000006,44.59685,42.61205,32.65885,38.18445
intel-Desktop,333SP,19.68185,12.7717,18.4302,12.95765,10.95435,11.2281,15.116,10.59
intel-Desktop,3dtube,148.187,167.55700000000002,165.416,140.08499999999998,178.447,175.4765,164.916,143.5965
intel-Desktop,3elt_dual,103.1465,120.331,98.88885,117.181,117.0245,112.226,95.7708,111.0445
intel-Desktop,598a,29.76795,16.522100000000002,34.0443,16.88425,33.50345,30.88045,30.60565,11.3246
intel-Desktop,ACTIVSg70K,13.58565,14.1754,12.1207,13.8131,13.58895,13.3418,10.01745,13.3257
intel-Desktop,AS365,19.08255,9.426875,18.534,9.761215,9.26019,9.12229,15.3042,8.877705
intel-Desktop,Alemdar,164.62349999999998,138.38150000000002,174.9735,165.1365,172.6945,,161.7725,70.57535
intel-Desktop,Andrews,25.4373,18.8002,29.73925,17.51215,33.69145,30.8997,24.4172,13.5154
intel-Desktop,BenElechi1,134.777,157.236,138.2045,155.21050000000002,161.5265,163.042,134.67399999999998,131.2455
intel-Desktop,Bump_2911,69.48745,81.32825,73.37995000000001,84.80945,88.09389999999999,85.9194,60.89715,81.86885000000001
intel-Desktop,CO,25.54705,34.111850000000004,44.2646,29.70925,51.1628,30.98755,20.97455,28.42965
intel-Desktop,Cube_Coup_dt0,90.3932,100.164,94.15175,100.6055,110.376,108.127,92.8323,93.45355
intel-Desktop,Cube_Coup_dt6,87.85964999999999,105.0055,91.6242,102.5485,111.586,109.6255,91.80625,98.1553
intel-Desktop,CurlCurl_0,185.82,225.92,215.9135,225.7905,232.2345,219.103,217.3545,210.8065
intel-Desktop,CurlCurl_1,22.7582,31.21655,29.258650000000003,30.92285,32.726699999999994,32.49545,26.1629,27.6356
intel-Desktop,CurlCurl_2,20.91705,30.6085,26.73185,29.7768,29.86475,29.69085,24.832700000000003,25.78365
intel-Desktop,CurlCurl_3,21.40405,29.90835,28.7717,29.79025,29.90385,29.32855,23.0009,26.29415
intel-Desktop,CurlCurl_4,20.75225,29.5233,27.13365,29.44345,27.98175,27.4937,22.4916,25.00965
intel-Desktop,Dubcova1,187.2165,173.96949999999998,189.42,171.934,196.174,,185.839,138.022
intel-Desktop,Dubcova2,43.95495,38.4945,50.73015,42.34715,50.22295,42.0496,47.7314,34.6377
intel-Desktop,Dubcova3,61.220600000000005,40.03615,64.14605,49.01055,54.8389,52.3879,68.2125,41.8277
intel-Desktop,EX5,106.695,96.6824,106.3805,168.419,116.029,,121.566,170.96699999999998
intel-Desktop,EX6,114.071,151.38299999999998,108.3565,168.714,112.5125,,116.631,172.498
intel-Desktop,Emilia_923,69.37865,85.50895,79.71565000000001,71.6938,91.6381,93.4295,69.70035,60.62325
intel-Desktop,Erdos02,79.48035,79.67195,86.27105,81.1397,87.67465,65.18535,82.74279999999999,61.62415
intel-Desktop,Erdos972,87.10499999999999,91.9662,89.03725,98.0853,88.45575,66.59625,85.14915,66.39914999999999
intel-Desktop,Erdos982,89.48464999999999,93.5646,89.625,95.45275,93.47775,65.8836,80.97695,61.52685
intel-Desktop,Erdos992,85.22200000000001,93.32715,89.3818,88.37125,90.1135,64.6618,83.914,60.056650000000005
intel-Desktop,F1,109.8575,55.1953,126.732,55.05335,63.876050000000006,57.99555,118.7345,49.58945
intel-Desktop,F2,139.63,89.52345,145.62400000000002,86.08430000000001,145.881,112.0415,138.7935,74.51310000000001
intel-Desktop,Fashion_MNIST_norm_10NN,178.1485,110.061,198.6175,81.44319999999999,174.286,161.15949999999998,142.793,61.69225
