k_bin,nth,pearson_median_GFLOPS_yax_spmv_basic_vs_median_GFLOPS_cg_basic_spmv,pearson_median_GFLOPS_yax_xyp_spmv_basic_vs_median_GFLOPS_cg_basic_spmv,subset_count_beforeNAdrop,median_GFLOPS_yax_spmv_basic_vs_median_GFLOPS_cg_basic_spmv_count,median_GFLOPS_yax_xyp_spmv_basic_vs_median_GFLOPS_cg_basic_spmv_count
"[65536, 131072)",4,0.9958663133777655,0.998714743511999,85,85,85
"[65536, 131072)",7,0.998519415778297,0.9983748256616416,85,85,85
"[65536, 131072)",8,0.9981627759926028,0.9982854774373017,85,85,85
"[131072, 262144)",1,0.9993116895461834,0.9993729492758849,71,71,71
"[131072, 262144)",4,0.9972679990966697,0.9981408612131519,71,71,71
"[131072, 262144)",7,0.9948441055654931,0.9919580385563934,71,71,71
"[131072, 262144)",8,0.9911775755847279,0.9883423693222495,71,71,71
"[262144, 524288)",1,0.999796444809627,0.9995603317220664,50,50,50
"[262144, 524288)",4,0.9972751689945872,0.9976299105316885,50,50,50
"[262144, 524288)",7,0.9652698190878954,0.9627233118508298,50,50,50
"[262144, 524288)",8,0.9540243473424754,0.9454414945213901,50,50,50
"[524288, 1048576)",1,0.9997336402899949,0.9997082963590807,24,24,24
"[524288, 1048576)",4,0.9921836553342405,0.9867460835563938,24,24,24
"[524288, 1048576)",7,0.8862101328946099,0.8715628984532151,24,24,24
"[524288, 1048576)",8,0.8646147706399581,0.8060838314186921,24,24,24
"[1048576, 2097152)",1,0.9995660990125289,0.9996408632334703,26,26,26
"[1048576, 2097152)",4,0.9932141544962859,0.9908543979350563,26,26,26
"[1048576, 2097152)",7,0.9725464925198609,0.9585776778555373,26,26,26
"[1048576, 2097152)",8,0.9707122612755479,0.9447890087748491,26,26,26
"[2097152, 4194304)",1,0.9995819867603478,0.9994754536541008,18,18,18
"[2097152, 4194304)",4,0.9954505200017676,0.9960712560241568,18,18,18
"[2097152, 4194304)",7,0.9937515852214521,0.9958367504729091,18,18,18
"[2097152, 4194304)",8,0.9923250591017911,0.9932055213627179,18,18,18
"[4194304, 8388608)",1,0.9984290639114026,0.9998107398204414,11,11,11
"[4194304, 8388608)",4,0.9996320960816015,0.9997933785919159,11,11,11
"[4194304, 8388608)",7,0.9987519868136383,0.9993148975984353,11,11,11
"[4194304, 8388608)",8,0.9995986551911723,0.9997864903064348,11,11,11
"[8388608, 16777216)",1,0.9999875891088185,0.9999770944921915,8,8,8
"[8388608, 16777216)",4,0.9989643532289728,0.9990439550303685,8,8,8
"[8388608, 16777216)",7,0.9998204023888825,0.9999040640092383,8,8,8
"[8388608, 16777216)",8,0.9998211407910719,0.9999132909102044,8,8,8
"[16777216, 33554432)",1,0.9996321103364162,0.9999686405262695,8,8,8
"[16777216, 33554432)",4,0.9999413506638555,0.9999279675712605,8,8,8
"[16777216, 33554432)",7,0.9999505696394051,0.9999779201728758,8,8,8
"[16777216, 33554432)",8,0.9999200290708119,0.9999220603743519,8,8,8
