k_bin,nth,n,pearson_median_GFLOPs_spmm_basic_vs_median_GFLOPs_spmm_GCN,pearson_median_GFLOPs_spmm_basic_xyp_vs_median_GFLOPs_spmm_GCN,subset_count_beforeNAdrop,median_GFLOPs_spmm_basic_vs_median_GFLOPs_spmm_GCN_count,median_GFLOPs_spmm_basic_xyp_vs_median_GFLOPs_spmm_GCN_count
"[256, 512)",4,64,0.9145993675028284,0.8840792290412384,58,58,58
"[256, 512)",7,8,0.9519855755802119,0.9817240183795234,58,58,58
"[256, 512)",7,64,0.89335313499826,0.9173874503710263,58,58,58
"[256, 512)",8,8,0.949957043191818,0.9872259415517823,58,58,58
"[256, 512)",8,64,0.8816676944857189,0.9343571003649893,58,58,58
"[512, 1024)",1,8,0.9573203216297428,0.9303497224525938,91,91,91
"[512, 1024)",1,64,0.8888768563067628,0.8802084579211915,91,91,91
"[512, 1024)",4,8,0.9373246244205297,0.9684282563162274,91,91,91
"[512, 1024)",4,64,0.9459887805379512,0.9619563638513217,91,91,91
"[512, 1024)",7,8,0.9294432609264354,0.9763469307928925,91,91,91
"[512, 1024)",7,64,0.871880835671509,0.9140546666480664,91,91,91
"[512, 1024)",8,8,0.937563652103201,0.9814433186997813,91,91,91
"[512, 1024)",8,64,0.8655052170821985,0.9055418889328576,91,91,91
"[1024, 2048)",1,8,0.9849201341447475,0.9769894247657462,108,108,108
"[1024, 2048)",1,64,0.9731006130779791,0.9721994537099684,108,108,108
"[1024, 2048)",4,8,0.9586240577346409,0.9873371620231421,108,108,108
"[1024, 2048)",4,64,0.9488003381808198,0.9583563718296614,108,108,108
"[1024, 2048)",7,8,0.9267580998964678,0.9865281743478096,108,108,108
"[1024, 2048)",7,64,0.895361176076177,0.9374486854825439,108,108,108
"[1024, 2048)",8,8,0.9274061559691625,0.9892562640856071,108,108,108
"[1024, 2048)",8,64,0.883107616659043,0.9333303174372135,108,108,108
"[2048, 4096)",1,8,0.9833212750745843,0.9713326005707712,78,78,78
"[2048, 4096)",1,64,0.9712863479051375,0.9670403286116644,78,78,78
"[2048, 4096)",4,8,0.97822591540469,0.9779508148465671,78,78,78
"[2048, 4096)",4,64,0.9722845152730616,0.9725094605717883,78,78,78
"[2048, 4096)",7,8,0.9213651207037665,0.9919956513730008,78,78,78
"[2048, 4096)",7,64,0.9310967982477767,0.9601042890303777,78,78,78
"[2048, 4096)",8,8,0.9168647903898609,0.987892006581747,78,78,78
"[2048, 4096)",8,64,0.9099159260078808,0.9503758094396226,78,78,78
"[4096, 8192)",1,8,0.9891356870244186,0.9869022491515007,104,104,104
"[4096, 8192)",1,64,0.9666776270983164,0.9664955556051503,104,104,104
"[4096, 8192)",4,8,0.9891323363569312,0.9940318666841561,104,104,104
"[4096, 8192)",4,64,0.95884899946338,0.9649771790498435,104,104,104
"[4096, 8192)",7,8,0.9805760827003198,0.9961820283490137,104,104,104
"[4096, 8192)",7,64,0.9346818531874957,0.9482791977339489,104,104,104
"[4096, 8192)",8,8,0.9746346509323165,0.9957390948425185,104,104,104
"[4096, 8192)",8,64,0.9273059630486666,0.9476765152180047,104,104,104
"[8192, 16384)",1,8,0.9094944686677997,0.9104517368036902,123,123,123
"[8192, 16384)",1,64,0.959011293811141,0.9593101417712004,123,123,123
"[8192, 16384)",4,8,0.9758506587133499,0.9769419883137566,123,123,123
"[8192, 16384)",4,64,0.9234490667367854,0.9246730744733155,123,123,123
"[8192, 16384)",7,8,0.9797848808624263,0.9857634561997884,123,123,123
"[8192, 16384)",7,64,0.8721534246233532,0.8801890867118352,123,123,123
"[8192, 16384)",8,8,0.9770029116543307,0.9857691847050772,123,123,123
"[8192, 16384)",8,64,0.8593423141824611,0.870503621495367,123,123,123
"[16384, 32768)",1,8,0.887123566156106,0.8835368541745192,118,118,118
"[16384, 32768)",1,64,0.9262447660044161,0.9192748705532692,118,118,118
"[16384, 32768)",4,8,0.9809484400406715,0.9725540924943787,118,118,118
"[16384, 32768)",4,64,0.7455358702915709,0.7502829416280218,118,118,118
"[16384, 32768)",7,8,0.9861780289650821,0.9831436925819753,118,118,118
"[16384, 32768)",7,64,0.6959187105828416,0.7059484592385462,118,118,118
"[16384, 32768)",8,8,0.9839784752116493,0.9840319417694283,118,118,118
"[16384, 32768)",8,64,0.6914158096506712,0.7051376983941707,118,118,118
"[32768, 65536)",1,8,0.9797252879866273,0.9759248327829567,97,97,97
"[32768, 65536)",1,64,0.9721326143395164,0.9736220880782399,97,97,97
"[32768, 65536)",4,8,0.9848862107844258,0.9866279406787145,97,97,97
"[32768, 65536)",4,64,0.9226634255319933,0.9309290638662046,97,97,97
"[32768, 65536)",7,8,0.9741034369438154,0.9783489462887721,97,97,97
"[32768, 65536)",7,64,0.9480626751138984,0.945003878922584,97,97,97
"[32768, 65536)",8,8,0.9747198684158502,0.9776715063706645,97,97,97
"[32768, 65536)",8,64,0.9516588786753244,0.9455142770283015,97,97,97
"[65536, 131072)",1,8,0.9832942158926293,0.9847890424490404,85,85,85
"[65536, 131072)",1,64,0.9830120586566266,0.9838338217053627,85,85,85
"[65536, 131072)",4,8,0.9653492183178835,0.9723553586818845,85,85,85
"[65536, 131072)",4,64,0.9901339997789856,0.9937072626754323,85,85,85
"[65536, 131072)",7,8,0.8841127929386525,0.9013001835771726,85,85,85
"[65536, 131072)",7,64,0.994152140715697,0.996832585115786,85,85,85
"[65536, 131072)",8,8,0.8617143861352075,0.8757765241886846,85,85,85
"[65536, 131072)",8,64,0.9945664369670708,0.9963892483863089,85,85,85
"[131072, 262144)",1,8,0.995091567891931,0.9945434004074469,71,71,71
"[131072, 262144)",1,64,0.9996025918899003,0.9995761940798082,71,71,71
"[131072, 262144)",4,8,0.9400652726292885,0.9399958001937868,71,71,71
"[131072, 262144)",4,64,0.9996405933010449,0.9996412676084795,71,71,71
"[131072, 262144)",7,8,0.802229151740277,0.7786880491288468,71,71,71
"[131072, 262144)",7,64,0.9997538633208413,0.999793240942974,71,71,71
"[131072, 262144)",8,8,0.7658993399665562,0.7334211686068447,71,71,71
"[131072, 262144)",8,64,0.9997546097199861,0.9997042823810445,71,71,71
"[262144, 524288)",1,8,0.9959894562068221,0.9969504793596867,50,50,50
"[262144, 524288)",1,64,0.9995022950720709,0.999495973101696,50,50,50
"[262144, 524288)",4,8,0.9879302573942526,0.9924869993539621,50,50,50
"[262144, 524288)",4,64,0.999870842541501,0.9999099510914693,50,50,50
"[262144, 524288)",7,8,0.9843140476327824,0.9823566379547904,50,50,50
"[262144, 524288)",7,64,0.9998358715790574,0.9999035200090802,50,50,50
"[262144, 524288)",8,8,0.9818664419894589,0.9754752708726666,50,50,50
"[262144, 524288)",8,64,0.9999105104955095,0.9998757115781055,50,50,50
"[524288, 1048576)",1,8,0.9923740076118612,0.9921767219984882,24,24,24
"[524288, 1048576)",1,64,0.9999581523789945,0.9999750288784397,24,24,24
"[524288, 1048576)",4,8,0.9874532288631259,0.991346481331032,24,24,24
"[524288, 1048576)",4,64,0.9999480077600301,0.9999418506530429,24,24,24
"[524288, 1048576)",7,8,0.9933244988310213,0.9943460641008197,24,24,24
"[524288, 1048576)",7,64,0.9999211042208995,0.9999553255500735,24,24,24
"[524288, 1048576)",8,8,0.9933593921383799,0.994284823727019,24,24,24
"[524288, 1048576)",8,64,0.999844983283113,0.999970810727925,24,24,24
"[1048576, 2097152)",1,8,0.9996202796614683,0.9997616922656158,26,26,26
"[1048576, 2097152)",1,64,0.9998890858123595,0.9998920386618168,26,26,26
"[1048576, 2097152)",4,8,0.9997289012316648,0.9998566124251298,26,26,26
"[1048576, 2097152)",4,64,0.9999484051006505,0.9999398663526539,26,26,26
"[1048576, 2097152)",7,8,0.9994295190094812,0.9994405664621683,26,26,26
"[1048576, 2097152)",7,64,0.9999094849417497,0.9998813511833468,26,26,26
"[1048576, 2097152)",8,8,0.9991212835419537,0.9990961943706472,26,26,26
"[1048576, 2097152)",8,64,0.9999589691713237,0.9999447157469068,26,26,26
"[2097152, 4194304)",1,8,0.9999342598882329,0.999981009375185,18,18,18
"[2097152, 4194304)",1,64,0.9989751916026945,0.9999884129992875,18,18,18
"[2097152, 4194304)",4,8,0.9998970721288397,0.9999692674813969,18,18,18
"[2097152, 4194304)",4,64,0.9999008878882043,0.999941708635597,18,18,18
"[2097152, 4194304)",7,8,0.9998330667089091,0.9998478448657223,18,18,18
"[2097152, 4194304)",7,64,0.9998934366202625,0.9999241261406047,18,18,18
"[2097152, 4194304)",8,8,0.9999139416921464,0.9999082182796944,18,18,18
"[2097152, 4194304)",8,64,0.9999378731033057,0.999946057482253,18,18,18
"[4194304, 8388608)",1,8,0.9999932109383474,0.9999987658110554,11,11,11
"[4194304, 8388608)",1,64,0.9999922374933119,0.9999797781642255,11,11,11
"[4194304, 8388608)",4,8,0.9999091119362638,0.999955034237785,11,11,11
"[4194304, 8388608)",4,64,0.9999136846596087,0.9999716203618578,11,11,11
"[4194304, 8388608)",7,8,0.9999459661045699,0.9999010382817751,11,11,11
"[4194304, 8388608)",7,64,0.9999597162874543,0.9999303589631205,11,11,11
"[4194304, 8388608)",8,8,0.9999848799044218,0.9999595005303425,11,11,11
"[4194304, 8388608)",8,64,0.9999853629929984,0.9999587806142444,11,11,11
"[8388608, 16777216)",1,8,0.9999975362902008,0.9999995231735395,8,8,8
"[8388608, 16777216)",1,64,0.9999907581794888,0.9999907642595056,8,8,8
"[8388608, 16777216)",4,8,0.9999934070119041,0.9999979281145777,8,8,8
"[8388608, 16777216)",4,64,0.9999050871905826,0.9998558867596439,8,8,8
"[8388608, 16777216)",7,8,0.999997092296882,0.9999946999418609,8,8,8
"[8388608, 16777216)",7,64,0.9999403012014545,0.9998960500094078,8,8,8
"[8388608, 16777216)",8,8,0.99998366054107,0.9999728873892412,8,8,8
"[8388608, 16777216)",8,64,0.9998341480068739,0.999819071792463,8,8,8
"[16777216, 33554432)",1,8,0.9999196074243417,0.9998622493516942,8,8,8
"[16777216, 33554432)",1,64,0.9995816089615089,0.9993392274069308,8,8,8
"[16777216, 33554432)",4,8,0.9999570205050718,0.9999421517117375,8,8,8
"[16777216, 33554432)",4,64,0.9999450304992282,0.9999373745605049,8,8,8
"[16777216, 33554432)",7,8,0.9999532919743238,0.9999728832552004,8,8,8
"[16777216, 33554432)",7,64,0.999235709281194,0.9993035578134831,8,8,8
"[16777216, 33554432)",8,8,0.9999754842530179,0.9999739044839835,8,8,8
"[16777216, 33554432)",8,64,0.999442525539779,0.9993231824839105,8,8,8
