machine,matrix_name,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
athena.skylake,Queen_4147,132.971,141.282,140.856,138.849,148.274,149.323,137.628,138.352
athena.skylake,Reuters911,21.5151,118.591,,105.677,32.5404,39.8133,28.759,118.905
athena.skylake,Serena,108.242,114.928,120.416,112.972,123.701,121.792,111.039,113.871
athena.skylake,Si10H16,81.1025,102.213,90.5354,110.659,102.195,,82.5658,131.478
athena.skylake,Si34H36,37.1169,74.5344,78.3736,61.8858,82.3007,79.8853,57.474,66.4809
athena.skylake,Si41Ge41H72,49.3704,67.9857,71.7719,76.3571,84.7425,77.5097,74.513,71.8289
athena.skylake,Si5H12,105.544,107.918,76.4969,123.444,79.1219,90.3401,82.7088,123.018
athena.skylake,Si87H76,50.2688,53.4046,72.4006,58.5761,83.5802,72.7454,48.5145,55.8086
athena.skylake,SiH4,112.925,142.514,56.2283,81.0554,62.0572,,62.7907,130.503
athena.skylake,SiNa,83.3713,130.66,61.8694,97.6496,63.6427,129.216,77.8961,137.522
athena.skylake,SiO,62.9466,87.6054,73.0988,76.5762,62.9255,57.7843,49.4782,94.3075
athena.skylake,SiO2,22.7416,51.812,30.1932,17.7706,18.0835,57.6183,18.8549,46.726
athena.skylake,StocF-1465,39.0747,41.2106,54.4721,49.0913,59.553,58.4835,46.182,45.7464
athena.skylake,TEM152078,109.523,117.961,119.763,123.557,128.128,114.615,109.885,122.173
athena.skylake,TEM181302,112.49,125.045,119.359,127.053,129.008,115.485,108.906,121.838
athena.skylake,TEM27623,108.987,118.883,117.873,125.401,130.028,123.547,106.609,104.511
athena.skylake,TSC_OPF_1047,86.6581,91.0651,89.7264,79.3991,73.2056,88.9291,90.3269,67.3618
athena.skylake,TSC_OPF_300,67.753,95.1531,68.8582,144.558,118.589,66.9789,76.9995,77.5509
athena.skylake,TSOPF_FS_b162_c1,42.4014,46.3945,45.5924,70.0539,127.19,63.2452,38.9816,41.2206
athena.skylake,TSOPF_FS_b162_c3,33.9251,32.2242,42.5778,82.5985,42.3299,39.1434,35.5627,34.0116
athena.skylake,TSOPF_FS_b162_c4,29.8589,37.256,39.1421,83.3307,35.2827,33.6269,35.2456,31.9413
athena.skylake,TSOPF_FS_b300,135.433,44.903,44.4891,61.9367,51.455,52.3413,35.7677,36.9722
athena.skylake,TSOPF_FS_b300_c1,145.226,64.9092,44.5121,62.1157,51.8046,51.5117,35.5317,37.1057
athena.skylake,TSOPF_FS_b300_c2,27.0822,33.865,,72.3484,70.3876,56.3051,32.9229,30.6119
athena.skylake,TSOPF_FS_b300_c3,20.5154,22.3435,,63.031,28.1143,21.776,22.2704,20.1632
athena.skylake,TSOPF_FS_b39_c19,18.1871,18.9627,,40.3899,41.3526,19.729,20.8337,17.5686
athena.skylake,TSOPF_FS_b39_c30,13.6993,14.9304,,33.6763,38.7557,11.6187,15.5014,13.6962
athena.skylake,TSOPF_FS_b39_c7,34.8668,37.9369,39.9423,109.566,47.6391,38.7746,36.6303,33.8368
athena.skylake,TSOPF_FS_b9_c6,43.6996,46.7701,47.3242,87.112,92.6727,44.0307,48.2209,42.883
athena.skylake,Trefethen_20000,147.901,146.237,147.225,147.867,154.127,129.698,151.539,138.814
athena.skylake,Trefethen_20000b,144.755,142.635,141.367,145.254,152.98,134.608,141.01,91.2339
athena.skylake,a0nsdsil,10.0214,16.8662,11.6723,9.67556,19.9995,15.8596,15.8928,17.6057
athena.skylake,a2nnsnsl,9.71346,16.0724,12.6247,9.79588,17.1976,17.0922,17.5386,17.6609
athena.skylake,a5esindl,13.055,13.6574,14.9337,13.4478,20.5676,20.2062,15.8805,15.1594
athena.skylake,adaptive,23.6719,20.6618,27.8405,20.345,20.5542,21.1533,19.9871,18.5168
athena.skylake,af_0_k101,114.38,110.085,116.453,123.517,125.718,125.38,110.081,112.954
athena.skylake,af_1_k101,115.236,109.085,116.926,122.669,126.261,126.372,110.749,113.309
athena.skylake,af_2_k101,115.269,111.093,116.071,122.531,125.792,126.12,110.608,113.115
athena.skylake,af_3_k101,115.039,111.153,115.766,119.838,125.704,126.511,109.699,113.091
athena.skylake,af_4_k101,114.626,108.673,116.455,120.541,123.195,123.842,110.995,113.353
athena.skylake,af_5_k101,115.038,110.701,116.865,122.65,126.562,125.612,110.237,113.83
athena.skylake,af_shell1,114.683,124.199,112.528,125.288,123.278,124.401,106.034,104.639
athena.skylake,af_shell10,114.076,106.743,120.024,109.386,125.444,123.814,107.362,106.091
athena.skylake,af_shell2,116.406,122.755,115.114,122.661,122.197,123.374,106.402,105.25
athena.skylake,af_shell3,116.24,122.57,114.483,123.365,123.855,123.566,104.64,105.1
athena.skylake,af_shell4,115.229,122.166,112.754,123.886,125.207,124.609,107.443,106.357
athena.skylake,af_shell5,114.421,122.423,112.21,124.742,123.947,123.476,106.685,105.901
athena.skylake,af_shell6,116.441,123.903,113.655,122.823,123.449,124.682,105.766,105.989
athena.skylake,af_shell7,115.569,122.218,115.145,125.187,123.501,123.512,106.764,100.657
athena.skylake,af_shell8,116.25,123.302,112.472,125.322,124.683,123.149,104.83,106.63
athena.skylake,af_shell9,114.697,123.338,114.844,123.154,123.455,123.562,106.62,104.948
athena.skylake,aft01,190.218,200.42,200.023,199.083,200.81,,201.407,200.865
athena.skylake,airfoil1_dual,75.6484,76.5729,23.3272,75.745,75.5767,75.2195,74.9128,74.0978
athena.skylake,ak2010,41.4022,45.2486,49.1777,46.9016,48.471,47.6436,41.4902,40.0839
athena.skylake,al2010,30.5313,25.9374,32.5554,32.4869,29.1844,30.024,25.9903,20.3842
athena.skylake,analytics,20.2526,16.2415,16.5983,18.3537,21.1895,18.1774,18.0679,13.2049
athena.skylake,apache1,34.6238,44.6821,43.048,46.3343,45.6502,43.9446,39.4602,37.2511
athena.skylake,apache2,25.8407,35.9807,36.7016,36.8884,42.1992,40.5528,26.5154,29.4329
athena.skylake,ar2010,31.2861,31.279,33.1031,33.2032,32.0301,31.874,26.2322,25.3773
athena.skylake,as-22july06,20.0093,34.9848,21.0767,44.7485,70.3207,25.4896,19.4427,18.5749
athena.skylake,as-735,28.3488,45.5319,31.9045,49.9255,49.1177,33.3187,26.4302,49.7975
athena.skylake,as-Skitter,9.68045,22.2258,,20.1954,24.6471,18.2184,9.21473,11.7732
athena.skylake,asia_osm,17.1786,17.0978,17.1877,16.3893,16.7168,16.8258,14.9491,16.256
athena.skylake,astro-ph,50.0104,91.3377,94.8224,99.048,100.999,75.1032,65.7205,82.4343
athena.skylake,audikw_1,97.5206,128.353,150.02,130.529,137.997,128.866,145.49,63.7539
athena.skylake,aug2d,51.7574,55.1058,52.2705,58.0585,57.4341,42.2252,56.4743,54.3314
athena.skylake,aug2dc,50.7463,53.4087,50.2103,50.8277,57.305,37.767,52.671,40.4196
athena.skylake,aug3d,60.0634,64.0245,36.8171,64.7508,67.8746,50.3153,56.2073,47.0778
