k_bin,nth,pearson_yax_cg,pearson_xyp_cg,subset_count_beforeNAdrop,yax_cg_subset_count,xyp_cg_subset_count
"[2048, 4096)",8,0.9849570269533187,0.9587612504756496,78,78,78
"[2048, 4096)",9,0.9850974914645162,0.9484265484038688,78,78,78
"[2048, 4096)",14,0.9952298518883843,0.9315416230051069,78,78,78
"[2048, 4096)",15,0.9963970925651808,0.907866386136014,78,78,78
"[2048, 4096)",16,0.9955996957320861,0.9564035099123793,78,78,78
"[2048, 4096)",17,0.9972662086410611,0.952398885589662,78,78,78
"[2048, 4096)",18,0.996983893298029,0.93386501483996,78,78,78
"[4096, 8192)",1,0.9743442310199342,0.9712473597798165,104,104,104
"[4096, 8192)",2,0.9626377819377495,0.976549586513175,104,104,104
"[4096, 8192)",4,0.9662082475673153,0.9832547604515993,104,104,104
"[4096, 8192)",8,0.9849628664460105,0.9831061518295007,104,104,104
"[4096, 8192)",9,0.9870487547054141,0.9599394974848291,104,104,104
"[4096, 8192)",14,0.9945409533014713,0.9770344571799888,104,104,104
"[4096, 8192)",15,0.9951092289250445,0.9811893177967181,104,104,104
"[4096, 8192)",16,0.995978370790489,0.9773198875926985,104,104,104
"[4096, 8192)",17,0.9950467344185211,0.9726727526613365,104,104,104
"[4096, 8192)",18,0.9865678109825554,0.9215012776660066,104,104,104
"[8192, 16384)",1,0.9647119963349782,0.9582996308852382,121,121,121
"[8192, 16384)",2,0.9516459179143412,0.9713817373108974,121,121,121
"[8192, 16384)",4,0.960064965438371,0.9837027493531034,121,121,121
"[8192, 16384)",8,0.9768792017448091,0.9932294414555511,121,121,121
"[8192, 16384)",9,0.9783388081339104,0.9942398060400227,121,121,121
"[8192, 16384)",14,0.9888687693917297,0.998117363815216,121,121,121
"[8192, 16384)",15,0.9893038195338603,0.9935207374419351,121,121,121
"[8192, 16384)",16,0.9917393903923525,0.9877765535286401,121,121,121
"[8192, 16384)",17,0.9919557042979341,0.977679971567669,121,121,121
"[8192, 16384)",18,0.991566103797311,0.9878992127406143,121,121,121
"[16384, 32768)",1,0.9659604560705153,0.9593101225496601,118,118,118
"[16384, 32768)",2,0.9364468391517412,0.9691057037925952,118,118,118
"[16384, 32768)",4,0.9348164751396861,0.9812026015973917,118,118,118
"[16384, 32768)",8,0.9460453534499587,0.9889874007887006,118,118,118
"[16384, 32768)",9,0.9454228956588244,0.988908218467124,118,118,118
"[16384, 32768)",14,0.9635194151748336,0.989497135879018,118,118,118
"[16384, 32768)",15,0.9665510554058715,0.9938206688565997,118,118,118
"[16384, 32768)",16,0.9703772300801661,0.9912483395620549,118,118,118
"[16384, 32768)",17,0.972705946426642,0.9961942233061639,118,118,118
"[16384, 32768)",18,0.9408756240990558,0.9912514390730591,118,118,118
"[32768, 65536)",1,0.983966929993217,0.9839740976811195,96,96,96
"[32768, 65536)",2,0.9413432779308668,0.9799161015068483,96,96,96
"[32768, 65536)",4,0.9404862155541875,0.9871836475158897,96,96,96
"[32768, 65536)",8,0.9378589308464392,0.9896839497883657,96,96,96
"[32768, 65536)",9,0.9471970770687254,0.9916689850573362,96,96,96
"[32768, 65536)",14,0.951902076505559,0.9928912138995278,96,96,96
"[32768, 65536)",15,0.9528224099790332,0.9926359756800307,96,96,96
"[32768, 65536)",16,0.948614939388704,0.9940939023105448,96,96,96
"[32768, 65536)",17,0.9528029633008984,0.9943884341755544,96,96,96
"[32768, 65536)",18,0.8486540759099216,0.9939345353672724,96,96,96
"[65536, 131072)",1,0.9949540984759484,0.996283119701918,85,85,85
"[65536, 131072)",2,0.9897917330975442,0.9953096249955268,85,85,85
"[65536, 131072)",4,0.9880488854123862,0.9950563587823602,85,85,85
"[65536, 131072)",8,0.984408323776645,0.9958001302671041,85,85,85
"[65536, 131072)",9,0.9828710175947339,0.9956266689133074,85,85,85
"[65536, 131072)",14,0.9814544663978141,0.9957526507256699,85,85,85
"[65536, 131072)",15,0.9828357322651817,0.9965779841625995,85,85,85
"[65536, 131072)",16,0.981864467654623,0.9966671416197864,85,85,85
"[65536, 131072)",17,0.9815421902435625,0.9974136272708105,85,85,85
"[65536, 131072)",18,0.950679647903499,0.9877770147130981,85,85,85
"[131072, 262144)",1,0.9942640245076633,0.9956350431451609,72,72,72
"[131072, 262144)",2,0.9967149988145219,0.9970061844354233,72,72,72
"[131072, 262144)",4,0.9967831023864554,0.9975127200016212,72,72,72
"[131072, 262144)",8,0.9965559988046717,0.9967208052281524,72,72,72
"[131072, 262144)",9,0.9960601997117187,0.9968571978400789,72,72,72
"[131072, 262144)",14,0.9937438362731876,0.9933703023187616,72,72,72
"[131072, 262144)",15,0.9930303052513442,0.9936549682496533,72,72,72
"[131072, 262144)",16,0.99502270201664,0.9943941380830789,72,72,72
"[131072, 262144)",17,0.9930184659587524,0.993342997734095,72,72,72
"[131072, 262144)",18,0.9912185856451936,0.994188994742055,72,72,72
"[262144, 524288)",1,0.9883607293618392,0.9862164602823107,50,50,50
"[262144, 524288)",2,0.9824692752404975,0.9827233842398004,50,50,50
"[262144, 524288)",4,0.9783939573760572,0.9828111158307431,50,50,50
"[262144, 524288)",8,0.9755489060772382,0.9850137250618974,50,50,50
"[262144, 524288)",9,0.9764844852270277,0.9831129025347438,50,50,50
"[262144, 524288)",14,0.973612862406895,0.983028192510599,50,50,50
"[262144, 524288)",15,0.9691391570099961,0.9834910149706592,50,50,50
"[262144, 524288)",16,0.972853886595494,0.9843410013198742,50,50,50
"[262144, 524288)",17,0.9751868174729125,0.9866897156166454,50,50,50
"[262144, 524288)",18,0.9753798048298258,0.989170563351554,50,50,50
"[524288, 1048576)",1,0.9825554571832488,0.9805396302318731,24,24,24
"[524288, 1048576)",2,0.9560782437187406,0.9628817897816152,24,24,24
"[524288, 1048576)",4,0.9340795597367852,0.9387726125328671,24,24,24
"[524288, 1048576)",8,0.912587792705726,0.9371105811691218,24,24,24
"[524288, 1048576)",9,0.9079359603348242,0.9452406203080772,24,24,24
"[524288, 1048576)",14,0.9199718688979839,0.9527513295885894,24,24,24
"[524288, 1048576)",15,0.9331219882570849,0.9667388309016992,24,24,24
"[524288, 1048576)",16,0.9265793959921377,0.9599371806279254,24,24,24
"[524288, 1048576)",17,0.9351702766295767,0.96593651180427,24,24,24
"[524288, 1048576)",18,0.8523879517586777,0.9649982034964397,24,24,24
"[1048576, 2097152)",1,0.9493074528900635,0.8373834501782327,26,26,26
"[1048576, 2097152)",2,0.9663071258980545,0.9574011801662026,26,26,26
"[1048576, 2097152)",4,0.9721108804800872,0.979640918927948,26,26,26
"[1048576, 2097152)",8,0.9699256124265159,0.9790052849111187,26,26,26
"[1048576, 2097152)",9,0.9635259209777983,0.9754066247456061,26,26,26
"[1048576, 2097152)",14,0.9526672650837015,0.9576578092564275,26,26,26
"[1048576, 2097152)",15,0.9410203328558557,0.9427317535200717,26,26,26
"[1048576, 2097152)",16,0.9426353771892917,0.9432303517097401,26,26,26
"[1048576, 2097152)",17,0.9592058471127287,0.9336540371824871,26,26,26
"[1048576, 2097152)",18,0.9247715846021388,0.9289652311655647,26,26,26
"[2097152, 4194304)",1,0.9776353193093906,0.9766615227706427,18,18,18
"[2097152, 4194304)",2,0.9909872873315309,0.9956183703819022,18,18,18
"[2097152, 4194304)",4,0.9930003979385008,0.9962019693223841,18,18,18
"[2097152, 4194304)",8,0.994717025564102,0.9982334593906689,18,18,18
"[2097152, 4194304)",9,0.9962538778312525,0.9986487454805489,18,18,18
"[2097152, 4194304)",14,0.994899002049046,0.9992417566364353,18,18,18
"[2097152, 4194304)",15,0.9957235034238077,0.9993253408819641,18,18,18
"[2097152, 4194304)",16,0.9967916643191287,0.9990124891764784,18,18,18
"[2097152, 4194304)",17,0.9970679901448504,0.9990558874812077,18,18,18
"[2097152, 4194304)",18,0.9967514815280673,0.9986721362978321,18,18,18
"[4194304, 8388608)",1,0.9950922578560938,0.9923982810939519,11,11,11
"[4194304, 8388608)",2,0.9934050643404873,0.9942767232812015,11,11,11
"[4194304, 8388608)",4,0.9916134331318868,0.9937234258168817,11,11,11
"[4194304, 8388608)",8,0.9895458574689955,0.994769823400478,11,11,11
"[4194304, 8388608)",9,0.9880654729369721,0.9942033609035744,11,11,11
"[4194304, 8388608)",14,0.9853754849322689,0.993430312928692,11,11,11
"[4194304, 8388608)",15,0.9823307160513283,0.9945771855930395,11,11,11
"[4194304, 8388608)",16,0.9637855262070141,0.9897592781744985,11,11,11
"[4194304, 8388608)",17,0.9707399335685818,0.9928642624857175,11,11,11
"[4194304, 8388608)",18,0.9593190689239198,0.988057314975383,11,11,11
"[8388608, 16777216)",1,0.9931967000158526,0.9913093339283159,8,8,8
"[8388608, 16777216)",2,0.994528247183279,0.9949983368597131,8,8,8
"[8388608, 16777216)",4,0.9936088869703187,0.9945880507028921,8,8,8
"[8388608, 16777216)",8,0.9910595435656468,0.9930206734604585,8,8,8
"[8388608, 16777216)",9,0.9912013783747711,0.9929746035817524,8,8,8
"[8388608, 16777216)",14,0.9872326691467691,0.9926656327325216,8,8,8
"[8388608, 16777216)",15,0.9874635517916899,0.9934289890425596,8,8,8
"[8388608, 16777216)",16,0.9856828798010742,0.9930297568085107,8,8,8
"[8388608, 16777216)",17,0.9855956577299281,0.99484726951904,8,8,8
"[8388608, 16777216)",18,0.9854304606031634,0.9946611726557082,8,8,8
"[16777216, 33554432)",1,0.999167565276654,0.9991092678331982,8,8,8
"[16777216, 33554432)",2,0.9983907689145207,0.9983723672794604,8,8,8
