matrix_name,reordering,m,k,nnz,nth,median_GFLOPS_yax_basic,median_GFLOPS_yax_flushed_basic,median_GFLOPS_yax_xyp_basic,median_GFLOPS_cg_basic_spmv,median_GFLOPS_cg_basic_all
c-65,baseline,48066,48066,360528,2,3.11738,3.12376,2.933465,2.751195,2.79379
c-65,baseline,48066,48066,360528,4,3.72256,3.71594,3.58682,3.44814,3.69746
c-65,baseline,48066,48066,360528,8,5.18262,5.128215,4.97032,4.780060000000001,4.958545
c-65,baseline,48066,48066,360528,9,5.50883,5.464765,5.27213,5.07568,5.18968
c-65,baseline,48066,48066,360528,14,6.740864999999999,6.680305000000001,6.405035,6.179715,5.96109
c-65,baseline,48066,48066,360528,15,6.95507,6.84023,6.594315,6.356755,6.04759
c-65,baseline,48066,48066,360528,16,7.238465,7.1814,6.836955,6.579005,6.182455
c-65,baseline,48066,48066,360528,17,7.493315000000001,7.418575000000001,7.0854,6.86747,6.3308800000000005
c-65,baseline,48066,48066,360528,18,7.69927,7.67323,7.301795,7.073684999999999,6.43417
big_dual,baseline,30269,30269,89858,1,1.6949800000000002,1.66175,1.785785,1.4362599999999999,2.05784
big_dual,baseline,30269,30269,89858,2,3.562615,3.566855,3.26365,2.88288,3.03776
big_dual,baseline,30269,30269,89858,4,6.9186700000000005,6.60384,6.28949,5.1020199999999996,4.6503
big_dual,baseline,30269,30269,89858,8,13.032,12.171800000000001,11.168050000000001,9.33394,6.32813
big_dual,baseline,30269,30269,89858,9,13.926400000000001,13.4528,12.344850000000001,10.25695,6.54115
big_dual,baseline,30269,30269,89858,14,18.412599999999998,18.949399999999997,15.406400000000001,14.26905,7.11917
big_dual,baseline,30269,30269,89858,15,19.81335,19.795450000000002,16.388199999999998,14.537199999999999,7.058305
big_dual,baseline,30269,30269,89858,16,20.6764,20.32585,16.631999999999998,15.0511,7.11176
big_dual,baseline,30269,30269,89858,17,21.29105,21.221400000000003,17.20455,15.5637,7.106725
big_dual,baseline,30269,30269,89858,18,20.45615,21.54885,17.803449999999998,16.3885,7.049939999999999
c-67b,baseline,57975,57975,531935,1,1.67631,1.679695,1.68631,1.63233,1.8937
c-67b,baseline,57975,57975,531935,2,3.160425,3.16089,3.059515,2.94523,3.01636
c-67b,baseline,57975,57975,531935,4,3.610975,3.58692,3.555795,3.486905,3.753285
c-67b,baseline,57975,57975,531935,8,3.878695,3.87711,3.84412,3.8343350000000003,4.285435
c-67b,baseline,57975,57975,531935,9,3.956125,3.93006,3.9304,3.9155249999999997,4.350325
c-67b,baseline,57975,57975,531935,14,4.438275,4.43158,4.349465,4.383215,4.8226700000000005
c-67b,baseline,57975,57975,531935,15,4.518645,4.51488,4.46888,4.46904,4.88119
c-67b,baseline,57975,57975,531935,16,4.570725,4.57155,4.535,4.546415,4.930235
c-67b,baseline,57975,57975,531935,17,4.658605,4.67309,4.62473,4.629665,4.997975
c-67b,baseline,57975,57975,531935,18,4.7168,4.729815,4.6748650000000005,4.68027,5.052075
