k_bin,nth,pearson_yax_cg,pearson_xyp_cg,subset_count_beforeNAdrop,yax_cg_subset_count,xyp_cg_subset_count
"[16384, 32768)",15,0.939857718182872,0.9470231305977894,18,18,18
"[16384, 32768)",16,0.936148563335414,0.8843689242761987,22,22,22
"[16384, 32768)",17,0.9650334249482846,0.9437522510426504,17,17,17
"[16384, 32768)",18,0.8850359934387976,0.7989213761765552,19,19,19
"[32768, 65536)",2,0.9430704865736868,0.9784041394083118,5,5,5
"[32768, 65536)",4,0.8077258495415232,0.9914964496210396,11,11,11
"[32768, 65536)",8,0.7808740098576834,0.9388692158891462,12,12,12
"[32768, 65536)",9,0.8506721805695434,0.9388172801620721,12,12,12
"[32768, 65536)",14,0.9047157561401378,0.9724585293049968,12,12,12
"[32768, 65536)",15,0.9499039202098162,0.9517259648866301,12,12,12
"[32768, 65536)",16,0.8849073757105992,0.9777747831482111,12,12,12
"[32768, 65536)",17,0.9330479945675217,0.9748691691034161,12,12,12
"[32768, 65536)",18,0.879453550586712,0.9617551342656122,12,12,12
"[65536, 131072)",8,0.9925459519097453,0.9758824301211704,4,4,4
"[65536, 131072)",9,0.9695000620133627,0.9731586706752617,6,6,6
"[65536, 131072)",14,0.9039490393986772,0.9712783475830874,6,6,6
"[65536, 131072)",15,0.9598006891437705,0.976107473086216,8,8,8
"[65536, 131072)",16,0.9097904386325997,0.9562906068360926,8,8,8
"[65536, 131072)",17,0.8914557036499089,0.9775312746708508,8,8,8
"[65536, 131072)",18,0.950931581200106,0.8983376499498422,9,9,9
"[131072, 262144)",14,,,1,0,0
"[131072, 262144)",15,,,1,0,0
"[131072, 262144)",16,,,1,0,0
"[131072, 262144)",17,,,1,0,0
"[131072, 262144)",18,,,1,0,0
"[262144, 524288)",14,,,1,0,0
"[262144, 524288)",15,,,1,0,0
